circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,INDRAPRASTHA COLON,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,24,24.0,4602.0,47.75
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,JAIPURI COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,17,13.0,2558.0,43.05
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,KRUSHI NAGAR COLON,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,2724.0,27.9
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,LALITHA NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,8.0,1842.0,17.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,MAMATHANAGAR COLON,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,26,26.0,4827.0,49.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,MATHUGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,1449.0,10.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,NAGOLE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,21,21.0,4003.0,75.54
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,NOMULA BANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,1966.0,23.75
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,ROCK TOWN-II,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,2335.0,41.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,SAI NAGAR COLONY-1,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,1528.0,28.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,NBR EXTN. COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,297.0,3.75
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,NEW GAYATRI NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,118.0,3.73
