circle,division,subdivision,section,area,catcode,catdesc,totservices,billedservices,units,load
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,RAJUPETA (MUL),5,Agriculture,7,0,0,35.0
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,RAJUPURAM,5,Agriculture,32,0,0,225.0
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,RAMACHENDRAPURAM,5,Agriculture,13,0,0,82.5
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,RANGAPURAM (MUL),5,Agriculture,7,0,0,52.5
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,PONAGANDLA,5,Agriculture,256,0,0,1282.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,RAIPALLI(KANAPARTHY),5,Agriculture,233,0,0,1165.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,RAJAKKAPALLY,5,Agriculture,29,0,0,145.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,RAMAGUNDALAPALLY,5,Agriculture,93,0,0,465.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,RAMANNAGUDEM,5,Agriculture,430,0,0,2150.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,RAMANNAGUDEM THANDA,5,Agriculture,4,0,0,20.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,RANGAIAHPALLI-REGOND,5,Agriculture,304,0,0,1521.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,RAVULAPALLI(REGONDA),5,Agriculture,51,0,0,255.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,REGONDA,5,Agriculture,322,0,0,1610.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,REPAKA,5,Agriculture,376,0,0,1883.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,KORLAKUNTA,5,Agriculture,29,0,0,145.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,KOTHA MUTHARAM,5,Agriculture,14,0,0,70.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,KOTHAREGULAGUDEM,5,Agriculture,68,0,0,351.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,MAHABOOBPALLY,5,Agriculture,32,0,0,190.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,MEENAJIPET,5,Agriculture,338,0,0,1751.5
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,MULUGUPALLY,5,Agriculture,174,0,0,935.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,MUTHARAM,5,Agriculture,183,0,0,931.5
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,NARASINGAPOOR,5,Agriculture,80,0,0,443.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,NIMMAAGUDEM,5,Agriculture,129,0,0,703.5
BHUPALAPALLY,MULUGU,MULUG,PASARA,AMURU THANDA,5,Agriculture,23,0,0,115.0
BHUPALAPALLY,MULUGU,MULUG,PASARA,BALAJINAGAR,5,Agriculture,28,0,0,200.0
BHUPALAPALLY,MULUGU,MULUG,PASARA,BOLLEPALLY,5,Agriculture,2,0,0,10.0
BHUPALAPALLY,MULUGU,MULUG,PASARA,BUSSAPOOR,5,Agriculture,105,0,0,527.5
BHUPALAPALLY,MULUGU,MULUG,PASARA,CHALVAI,5,Agriculture,416,1,0,2125.5
BHUPALAPALLY,MULUGU,MULUG,PASARA,CHANRDU THANDA,5,Agriculture,1,0,0,5.0
BHUPALAPALLY,MULUGU,MULUG,PASARA,DUMPALLIGUDEM,5,Agriculture,49,0,0,245.0
BHUPALAPALLY,MULUGU,MULUG,PASARA,FRUITFARM,5,Agriculture,7,0,0,35.0
BHUPALAPALLY,MULUGU,MULUG,PASARA,GOVINDARAOPET,5,Agriculture,32,0,0,180.0
BHUPALAPALLY,MULUGU,MULUG,PASARA,KARLAPALLY,5,Agriculture,403,0,0,2045.0
BHUPALAPALLY,MULUGU,MULUG,PASARA,LAKNAVARAM,5,Agriculture,254,0,0,1289.0
BHUPALAPALLY,MULUGU,MULUG,PASARA,LALBAHDURNAGAR,5,Agriculture,1,0,0,5.0
BHUPALAPALLY,MULUGU,MULUG,PASARA,LAXMIPUR,5,Agriculture,8,0,0,55.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,BHEEMDEVARAPALLY,KOTHAPALLY,5,Agriculture,602,0,0,3040.5
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,BHEEMDEVARAPALLY,MANGALAPALLY,5,Agriculture,5,0,0,25.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,BHEEMDEVARAPALLY,MANIKYAPUR,5,Agriculture,430,0,0,2157.5
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,BHEEMDEVARAPALLY,MULKANOOR,5,Agriculture,722,0,0,3722.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,BHEEMDEVARAPALLY,RAMNAGAR,5,Agriculture,33,0,0,165.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,BHEEMDEVARAPALLY,RANGAIAHPALLY,5,Agriculture,50,0,0,250.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,BHEEMDEVARAPALLY,RATNAGIRI,5,Agriculture,234,0,0,1182.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,BHEEMDEVARAPALLY,VANGARA,5,Agriculture,779,0,0,3941.5
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,BOLLONIPALLY,5,Agriculture,33,0,0,165.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,CHANTAIPALLY,5,Agriculture,98,0,0,490.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,CHAPATHANDA,5,Agriculture,110,0,0,550.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,DHARMARAM,5,Agriculture,121,0,0,605.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,GATLANARSINGAPUR,5,Agriculture,858,0,0,4292.5
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,GOLLAPALLI,5,Agriculture,14,0,0,70.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,KATKUR,5,Agriculture,767,0,0,3858.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,KOTHAKONDA,5,Agriculture,503,0,0,2520.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,MALLARAM,5,Agriculture,1016,0,0,5167.5
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,MUSTHAFAPUR,5,Agriculture,527,0,0,2635.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,MUTHARAM,5,Agriculture,278,0,0,1390.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,RASULIPALLI,5,Agriculture,24,0,0,125.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,ESAPUR,5,Agriculture,1,0,0,5.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,GANGAPOOR,5,Agriculture,15,0,0,75.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,GIRAJI,5,Agriculture,2,0,0,10.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,GIRNOOR,5,Agriculture,103,0,0,515.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,GOKONDA,5,Agriculture,54,0,0,270.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,GULABTHANDA,5,Agriculture,3,0,0,15.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,ISAPUR,5,Agriculture,9,0,0,45.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,JATHARALA,5,Agriculture,117,0,0,585.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,KANDLI,5,Agriculture,23,0,0,115.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,KINNERA PALLY,5,Agriculture,22,0,0,110.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,KOLAMGUDA,5,Agriculture,1,0,0,5.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,KOLHARI,5,Agriculture,103,0,0,515.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,KOTHAGUDA,5,Agriculture,30,0,0,150.0
ADILABAD,ADILABAD,JAINATH,BELA,RAMKHAM,5,Agriculture,23,0,0,115.0
ADILABAD,ADILABAD,JAINATH,BELA,RENIGUDA,5,Agriculture,11,0,0,55.0
ADILABAD,ADILABAD,JAINATH,BELA,SAHAJTANDA,5,Agriculture,1,0,0,5.0
ADILABAD,ADILABAD,JAINATH,BELA,SANGDI,5,Agriculture,161,0,0,835.0
ADILABAD,ADILABAD,JAINATH,BELA,SANGVI,5,Agriculture,39,0,0,195.0
ADILABAD,ADILABAD,JAINATH,BELA,SAYEEDPUR,5,Agriculture,47,0,0,235.0
ADILABAD,ADILABAD,JAINATH,BELA,SHAMSHABAD,5,Agriculture,11,0,0,55.0
ADILABAD,ADILABAD,JAINATH,BELA,SIRSINNA,5,Agriculture,117,0,0,585.0
ADILABAD,ADILABAD,JAINATH,BELA,SONKHAS,5,Agriculture,34,0,0,170.0
ADILABAD,ADILABAD,JAINATH,BELA,TAKLI,5,Agriculture,75,0,0,375.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,PARAEWADA(K),5,Agriculture,1,0,0,10.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,PARSWADA (B),5,Agriculture,17,0,0,85.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,PIPRI,5,Agriculture,5,0,0,25.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,PUSIGUDA,5,Agriculture,10,0,0,50.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,RAJULGUDA,5,Agriculture,2,0,0,10.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,RUPAPOOR,5,Agriculture,5,0,0,25.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,SANGVI,5,Agriculture,33,0,0,165.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,SANVI C/O.BEEMJIGUDA,5,Agriculture,6,0,0,30.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,SAVARI,5,Agriculture,12,0,0,60.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,SEKUGUDA (M),5,Agriculture,5,0,0,25.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,SHIVANARA,5,Agriculture,13,0,0,65.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,SONAPUR,5,Agriculture,20,0,0,100.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,SRUNGAPOOR,5,Agriculture,3,0,0,15.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,THADIHATHNOOR,5,Agriculture,91,0,0,460.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,GURJADA,5,Agriculture,6,0,0,30.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,INDANI,5,Agriculture,9,0,0,45.0
